Asset1,Asset2,P-Value,Hurst,Spread_Std,P-Value_adj,Hurst_adj,Quality_Score
CZNC,FFNW,0.004079843209285159,0.37038594772391475,0.9557030864074791,0.08862082257049801,0.0,0.911379177429502
CAC,DCOM,8.375897148433835e-05,0.3829913633672939,1.4704684444055294,0.0,0.16275696927353075,0.8372430307264692
BDX,MRK,0.0001313644631771078,0.3962490347442625,10.743678609838515,0.0010557429677728733,0.33393564945241055,0.6653611577934145
BDX,BMY,0.0016893680941969212,0.39593084294898034,10.483662826772392,0.035607457879764805,0.32982726193763423,0.6463095905196434
BDX,CNC,0.0001347550504817289,0.398918274902847,11.815936741906201,0.0011309357360059001,0.36839999801219764,0.6308857029746929
FNLC,SHBI,0.005755664336650019,0.39723986967247854,1.1198615420415796,0.12578536614624222,0.3467289832487066,0.571099082716504
IFF,MTW,0.0021973604609626944,0.41508178031547044,8.43928043353246,0.046873161684620586,0.5770978488582873,0.4030793902344733
CBU,FFIN,0.0168055564477851,0.39908073005193834,3.015906502534157,0.37083789004973283,0.37049756531636474,0.3960590800243862
CRI,UA,0.002052214263036831,0.41777852633531953,6.344772166097511,0.04365426671451624,0.6119173440267492,0.3711411922021166
CRI,UAA,0.013207929039918532,0.4081603733042973,6.170761007363733,0.29105361093684706,0.4877309243460601,0.3631713114135797
BDX,PFE,0.001925207824469721,0.42149433423511756,11.156066838597084,0.040837655655345736,0.659894630082479,0.32621626393429537
IFF,TROX,0.010027925406899852,0.4170783123954893,8.740441535111065,0.22053093899978615,0.6028764125799784,0.3095455497873206
NHC,VREX,0.0033349729477767437,0.4245204472666514,4.307667834883622,0.07210189770431304,0.6989668034741017,0.27932813178438565
CAC,MSBI,0.009327105105028663,0.422889191718124,2.118460907944338,0.20498890636733363,0.6779045698516507,0.25606944017632327
BDX,JNJ,0.00010611154083140175,0.4280473131021557,15.257932556416218,0.0004957110421653712,0.7445045319124766,0.25536881616276924
IBM,KBR,0.0011684338263681533,0.4277196174369015,6.628063977309841,0.02405474262830854,0.7402734335631841,0.25347891072744405
CRI,VRA,0.011537205451232768,0.4287172265540666,6.893427802316937,0.2540021150457721,0.7531542334529291,0.18414641975402002
IFF,IP,0.023418554977953233,0.4222923889569019,8.810076511386576,0.5174937998169196,0.6701988494360291,0.15913109997462957
CBU,GABC,0.027014121780737522,0.419344422918795,2.686500347877871,0.5972323810649661,0.6321356842491205,0.14816383454614723
ITGR,MD,0.003270176173786945,0.43650596594693075,7.119271392356787,0.07066490512128111,0.8537198676142878,0.13594326070954746
CRI,SBH,0.004759958303629375,0.43745723995307456,6.687054742287338,0.10370367756470758,0.8660024038327565,0.12010155265986978
ROP,SHW,0.004132397984453172,0.43788552136258996,22.695128302818624,0.08978632537980816,0.8715322321367945,0.11693311905702204
CZNC,RVSB,0.01173084785727671,0.4420483671252094,1.8217512918117862,0.25829650632656964,0.9252815236354026,0.05541895496157751
IFF,MEI,0.027403674728226336,0.4394741704122212,9.200802272232874,0.6058714638737459,0.8920443446979589,0.04254840439074394
QLYS,TENB,0.012981431400625722,0.44783525187398576,10.475966465206277,0.2860305919237516,0.9999998708832982,9.21853751388644e-08
CRI,SKX,0.04517568246851242,0.42404017923019277,6.07311106984673,0.9999997782308447,0.6927657409891838,6.81350820883607e-08
