Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.72,229.28,1462169,335246108.32,335246108.32,Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.93,115.15,2292554,263987593.1,263987593.1,Information Technology,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,2.69,1971.31,122971,242413962.01,242413962.01,Consumer Discretionary,2000019,US0231351067,NASDAQ
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.4,215.29,585969,126153266.01,126153266.01,Financials,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.28,113.97,1011631,115295585.07,115295585.07,Financials,2190385,US46625H1005,New York Stock Exchange Inc.
FB,FACEBOOK CLASS A INC,Equity,1.27,159.33,719288,114604157.04,114604157.04,Communication,B7TL820,US30303M1027,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,1.27,140.48,812094,114082965.12,114082965.12,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.23,86.46,1281491,110797711.86,110797711.86,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
GOOG,ALPHABET INC CLASS C,Equity,1.23,1200.11,92102,110532531.22,110532531.22,Communication,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,1.21,1207.64,90365,109128388.6,109128388.6,Communication,BYVY8G0,US02079K3059,NASDAQ
BAC,BANK OF AMERICA CORP,Equity,0.92,29.58,2816115,83300681.7,83300681.7,Financials,2295677,US0605051046,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,0.9,149.67,540760,80935549.2,80935549.2,Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.87,270.63,289127,78246440.01,78246440.01,Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,0.86,44.22,1754977,77605082.94,77605082.94,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.83,33.92,2198712,74580311.04,74580311.04,Communication,2831811,US00206R1023,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.8,124.74,576166,71870946.84,71870946.84,Energy,2838555,US1667641005,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.79,204.75,348630,71381992.5,71381992.5,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.77,49.01,1423999,69790190.99,69790190.99,Information Technology,2198163,US17275R1023,NASDAQ
WFC,WELLS FARGO,Equity,0.76,52.13,1313067,68450182.71,68450182.71,Financials,2649100,US9497461015,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.76,54.42,1251269,68094058.98,68094058.98,Communication,2090571,US92343V1044,New York Stock Exchange Inc.
INTC,INTEL CORPORATION,Equity,0.75,48.1,1396293,67161693.3,67161693.3,Information Technology,2463247,US4581401001,NASDAQ
PG,PROCTER & GAMBLE,Equity,0.71,84.36,753432,63559523.52,63559523.52,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
BA,BOEING,Equity,0.7,386.37,163850,63306724.5,63306724.5,Industrials,2108601,US0970231058,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.69,222.37,277881,61792397.97,61792397.97,Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.64,71.75,805159,57770158.25,57770158.25,Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,0.61,71.8,761488,54674838.4,54674838.4,Financials,2297907,US1729674242,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,0.6,46.51,1157028,53813372.28,53813372.28,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.59,117.66,450954,53059247.64,53059247.64,Communication,2270726,US2546871060,New York Stock Exchange Inc.
NVDA,NVIDIA CORP,Equity,0.56,286.48,176045,50433371.6,50433371.6,Information Technology,2379504,US67066G1040,NASDAQ
CMCSA,COMCAST CORP CLASS A,Equity,0.55,35.7,1381910,49334187,49334187,Communication,2044545,US20030N1019,NASDAQ
NFLX,NETFLIX INC,Equity,0.53,377.14,126029,47530577.06,47530577.06,Communication,2857817,US64110L1061,NASDAQ
PEP,PEPSICO INC,Equity,0.52,108.72,428490,46585432.8,46585432.8,Consumer Staples,2681511,US7134481081,NASDAQ
DWDP,DOWDUPONT INC,Equity,0.51,64.82,702274,45521400.68,45521400.68,Materials,BYP66M4,US26078J1007,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.48,94.23,458348,43190132.04,43190132.04,Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.47,153.75,277878,42723742.5,42723742.5,Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.47,50.23,847507,42570276.61,42570276.61,Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
WMT,WALMART INC,Equity,0.46,95.15,431536,41060650.4,41060650.4,Consumer Staples,2936921,US9311421039,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.45,207.67,195850,40672169.5,40672169.5,Health Care,2023607,US0311621009,NASDAQ
MDT,MEDTRONIC PLC,Equity,0.45,99.02,409269,40525816.38,40525816.38,Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
ADBE,ADOBE SYSTEM INC,Equity,0.45,272,148687,40442864,40442864,Information Technology,2008154,US00724F1012,NASDAQ
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.44,83.52,469844,39241370.88,39241370.88,Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.43,165.18,234899,38800616.82,38800616.82,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.42,73.81,517493,38196158.33,38196158.33,Health Care,2002305,US0028241000,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Equity,0.42,166.03,226075,37535232.25,37535232.25,Industrials,2020459,US4385161066,New York Stock Exchange Inc.
MMM,3M,Equity,0.41,215.71,172379,37183874.09,37183874.09,Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.41,163.15,223759,36506280.85,36506280.85,Industrials,2914734,US9078181081,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.39,61.29,572683,35099741.07,35099741.07,Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.37,173.15,194472,33672826.8,33672826.8,Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
CRM,SALESFORCE.COM INC,Equity,0.37,157.26,213395,33558497.7,33558497.7,Information Technology,2310525,US79466L3024,New York Stock Exchange Inc.
QCOM,QUALCOMM INC,Equity,0.36,73.35,448426,32892047.1,32892047.1,Information Technology,2714923,US7475251036,NASDAQ
AVGO,BROADCOM INC,Equity,0.36,248.1,130399,32351991.9,32351991.9,Information Technology,BDZ78H9,US11135F1012,NASDAQ
TXN,TEXAS INSTRUMENT INC,Equity,0.36,108.46,296288,32135396.48,32135396.48,Information Technology,2885409,US8825081040,NASDAQ
GE,GENERAL ELECTRIC,Equity,0.36,12.32,2607278,32121664.96,32121664.96,Industrials,2380498,US3696041033,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.36,141.45,226502,32038707.9,32038707.9,Industrials,2915500,US9130171096,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.35,82.77,379491,31410470.07,31410470.07,Consumer Discretionary,2640147,US6541061031,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Equity,0.35,236.35,132146,31232707.1,31232707.1,Consumer Staples,2701271,US22160K1051,NASDAQ
PYPL,PAYPAL HOLDINGS INC,Equity,0.35,86.68,359306,31144644.08,31144644.08,Information Technology,BYW36M8,US70450Y1038,NASDAQ
LLY,ELI LILLY,Equity,0.35,107.96,288325,31127567,31127567,Health Care,2516152,US5324571083,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.34,62.8,494661,31064710.8,31064710.8,Health Care,2126335,US1101221083,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.34,78.67,391476,30797416.92,30797416.92,Health Care,2369174,US3755581036,NASDAQ
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.33,247.75,121268,30044147,30044147,Health Care,2886907,US8835561023,New York Stock Exchange Inc.
BKNG,BOOKING HOLDINGS INC,Equity,0.31,1976.59,14336,28336394.24,28336394.24,Consumer Discretionary,BDRXDB4,US09857L1089,NASDAQ
LOW,LOWES COMPANIES INC,Equity,0.31,112.59,246925,27801285.75,27801285.75,Consumer Discretionary,2536763,US5486611073,New York Stock Exchange Inc.
COP,CONOCOPHILLIPS,Equity,0.31,78.28,354129,27721218.12,27721218.12,Energy,2685717,US20825C1045,New York Stock Exchange Inc.
CAT,CATERPILLAR INC,Equity,0.3,154.82,175567,27181282.94,27181282.94,Industrials,2180201,US1491231015,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,0.29,349.07,75025,26188976.75,26188976.75,Industrials,2522096,US5398301094,New York Stock Exchange Inc.
SLB,SCHLUMBERGER NV,Equity,0.29,61.89,419227,25945959.03,25945959.03,Energy,2779201,AN8068571086,New York Stock Exchange Inc.
USB,US BANCORP,Equity,0.27,52.74,465007,24524469.18,24524469.18,Financials,2736035,US9029733048,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.27,116.99,208864,24434999.36,24434999.36,Industrials,2517382,US9113121068,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.27,79.24,307368,24355840.32,24355840.32,Health Care,2577609,US1266501006,New York Stock Exchange Inc.
GS,GOLDMAN SACHS GROUP INC,Equity,0.27,226.07,107036,24197628.52,24197628.52,Financials,2407966,US38141G1040,New York Stock Exchange Inc.
NEE,NEXTERA ENERGY INC,Equity,0.27,169.34,142426,24118418.84,24118418.84,Utilities,2328915,US65339F1012,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,0.26,108.39,214361,23234588.79,23234588.79,Financials,2026082,US0258161092,New York Stock Exchange Inc.
EOG,EOG RESOURCES INC,Equity,0.25,130,174820,22726600,22726600,Energy,2318024,US26875P1012,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,0.25,55.59,397230,22082015.7,22082015.7,Consumer Discretionary,2842255,US8552441094,NASDAQ
ANTM,ANTHEM INC,Equity,0.24,276.12,78686,21726778.32,21726778.32,Health Care,BSPHGL4,US0367521038,New York Stock Exchange Inc.
BDX,BECTON DICKINSON,Equity,0.23,263.9,80107,21140237.3,21140237.3,Health Care,2087807,US0758871091,New York Stock Exchange Inc.
BIIB,BIOGEN INC INC,Equity,0.23,345.41,60842,21015435.22,21015435.22,Health Care,2455965,US09062X1037,NASDAQ
TJX,TJX INC,Equity,0.23,110.42,189637,20939717.54,20939717.54,Consumer Discretionary,2989301,US8725401090,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,0.23,108.96,187377,20416597.92,20416597.92,Health Care,2250870,US2358511028,New York Stock Exchange Inc.
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.22,151.77,133208,20216978.16,20216978.16,Information Technology,2065308,US0530151036,NASDAQ
AGN,ALLERGAN,Equity,0.22,193.42,102454,19816652.68,19816652.68,Health Care,BY9D546,IE00BY9D5467,New York Stock Exchange Inc.
AET,AETNA INC,Equity,0.22,203.15,96710,19646636.5,19646636.5,Health Care,2695921,US00817Y1082,New York Stock Exchange Inc.
CELG,CELGENE CORP,Equity,0.22,91.86,212080,19481668.8,19481668.8,Health Care,2182348,US1510201049,NASDAQ
ISRG,INTUITIVE SURGICAL INC,Equity,0.22,571.48,33974,19415461.52,19415461.52,Health Care,2871301,US46120E6023,NASDAQ
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.21,82.87,231610,19193520.7,19193520.7,Energy,2655408,US6745991058,New York Stock Exchange Inc.
PNC,PNC FINANCIAL SERVICES GROUP INC,Equity,0.21,136.26,140293,19116324.18,19116324.18,Financials,2692665,US6934751057,New York Stock Exchange Inc.
AMT,AMERICAN TOWER REIT CORP,Equity,0.21,144.13,132584,19109331.92,19109331.92,Real Estate,B7FBFL2,US03027X1000,New York Stock Exchange Inc.
ATVI,ACTIVISION BLIZZARD INC,Equity,0.21,83.39,227646,18983399.94,18983399.94,Communication,2575818,US00507V1098,NASDAQ
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.21,43.23,437998,18934653.54,18934653.54,Consumer Staples,B8CKK03,US6092071058,NASDAQ
WBA,WALGREEN BOOTS ALLIANCE INC,Equity,0.21,73.49,255814,18799770.86,18799770.86,Consumer Staples,BTN1Y44,US9314271084,NASDAQ
CB,CHUBB LTD,Equity,0.21,133.57,140118,18715561.26,18715561.26,Financials,B3BQMF6,CH0044328745,New York Stock Exchange Inc.
CSX,CSX CORP,Equity,0.2,74.33,246891,18351408.03,18351408.03,Industrials,2160753,US1264081035,NASDAQ
SYK,STRYKER CORP,Equity,0.2,177.38,103215,18308276.7,18308276.7,Health Care,2853688,US8636671013,New York Stock Exchange Inc.
